V1,Average Value of bitstampUSD Buys
5/28/2012,5.914672489
5/29/2012,6.3853125
5/30/2012,6.348339768
5/31/2012,6.142881356
6/1/2012,6.402363112
6/2/2012,6.535813449
6/3/2012,6.655740741
6/4/2012,6.608890701
6/5/2012,6.491380597
6/6/2012,6.386938776
6/7/2012,6.241472868
6/8/2012,6.350192837
6/9/2012,6.520875088
6/10/2012,6.416571429
6/11/2012,6.562491103
6/12/2012,6.561780822
6/13/2012,6.564794521
6/14/2012,6.604145455
6/15/2012,6.551787565
6/16/2012,6.483106383
6/17/2012,6.608301158
6/18/2012,6.535818966
6/19/2012,6.668013857
6/20/2012,6.619555556
6/21/2012,6.80271777
6/22/2012,7.030843882
6/23/2012,7.11016129
6/24/2012,7.194727273
6/25/2012,7.596157205
6/26/2012,7.548976546
6/27/2012,7.499759036
6/28/2012,7.657001733
6/29/2012,8.178616352
6/30/2012,8.800504732
7/1/2012,9.058371336
7/2/2012,8.237545126
7/3/2012,8.668417508
7/4/2012,8.595862069
7/5/2012,8.6073125
7/6/2012,8.602903226
7/7/2012,8.448963964
7/8/2012,8.635714286
7/9/2012,8.862165605
7/10/2012,8.904577114
7/11/2012,8.740797101
7/12/2012,8.759029412
7/13/2012,9.198130841
7/14/2012,9.299869707
7/15/2012,9.652492401
7/16/2012,10.76671827
7/17/2012,10.87796117
7/18/2012,10.48169421
7/19/2012,10.74845161
7/20/2012,10.77715976
7/21/2012,10.86147139
7/22/2012,11.15328947
7/23/2012,11.17299213
7/24/2012,11.31772727
7/25/2012,11.46569444
7/26/2012,11.67183333
7/27/2012,12.02509202
7/28/2012,12.55
7/29/2012,13.33003802
7/30/2012,14.1353598
7/31/2012,11.75701068
8/1/2012,9.115839552
8/2/2012,9.022196532
8/3/2012,10.10663934
8/4/2012,10.1588906
8/5/2012,9.971397849
8/6/2012,10.10334746
8/7/2012,10.38483333
8/8/2012,10.50299065
8/9/2012,11.26534247
8/10/2012,10.92485401
8/11/2012,10.79632381
8/12/2012,10.72646688
8/13/2012,10.41211806
8/14/2012,10.00333333
8/15/2012,9.943146853
8/16/2012,10.18610656
8/17/2012,10.30082902
8/18/2012,10.62980519
8/19/2012,10.89387464
8/20/2012,11.00193548
8/21/2012,10.822
8/22/2012,10.92725806
8/23/2012,10.90321569
8/24/2012,10.8444486
8/25/2012,10.99769437
8/26/2012,11.23784
8/27/2012,11.34886957
8/28/2012,11.56323077
8/29/2012,11.65059406
8/30/2012,11.74910569
8/31/2012,11.87576227
9/1/2012,12.30845714
9/2/2012,12.42427273
9/3/2012,12.16051447
9/4/2012,12.06098592
9/5/2012,11.90322751
9/6/2012,11.85685328
9/7/2012,11.90513002
9/8/2012,11.98752976
9/9/2012,12.11777778
9/10/2012,12.06262458
9/11/2012,12.21525773
9/12/2012,12.19942857
9/13/2012,12.08812298
9/14/2012,12.40127883
9/15/2012,12.75786408
9/16/2012,12.71816327
9/17/2012,12.43287091
9/18/2012,12.39798206
9/19/2012,12.04226804
9/20/2012,11.14080078
9/21/2012,11.95900929
9/22/2012,11.99955
9/23/2012,11.85320542
9/24/2012,11.98220588
9/25/2012,11.89091837
9/26/2012,11.84535211
9/27/2012,11.51755968
9/28/2012,11.70459302
9/29/2012,11.74715867
9/30/2012,11.77805369
10/1/2012,11.70470395
10/2/2012,11.6302381
10/3/2012,11.43701149
10/4/2012,11.46848606
10/5/2012,11.50969072
10/6/2012,11.40083969
10/7/2012,11.03082707
10/8/2012,10.21297794
10/9/2012,10.21478261
10/10/2012,10.52958042
10/11/2012,10.61272981
10/12/2012,10.67645503
10/13/2012,10.84311203
10/14/2012,10.91856031
10/15/2012,10.6888563
10/16/2012,10.57479381
10/17/2012,10.53384314
10/18/2012,10.67722034
10/19/2012,10.64450199
10/20/2012,10.69535262
10/21/2012,10.57743494
10/22/2012,10.7636747
10/23/2012,10.77875
10/24/2012,10.73638298
10/25/2012,10.85755639
10/26/2012,10.89363144
10/27/2012,10.89321782
10/28/2012,10.98368771
10/29/2012,11.18437592
10/30/2012,11.51909774
10/31/2012,11.50884615
11/1/2012,11.45854701
11/2/2012,11.58975779
11/3/2012,11.54993056
11/4/2012,11.77870602
11/5/2012,12.05785388
11/6/2012,12.17497238
11/7/2012,12.27419753
11/8/2012,12.24304124
11/9/2012,12.00302817
11/10/2012,12.18338308
11/11/2012,12.31233051
11/12/2012,12.37096026
11/13/2012,12.3998
11/14/2012,12.38296296
11/15/2012,12.46778013
11/16/2012,12.71296078
11/17/2012,13.07440154
11/18/2012,13.30502577
11/19/2012,13.3235906
11/20/2012,13.33670732
11/21/2012,13.24192
11/22/2012,13.28259939
11/23/2012,13.32575092
11/24/2012,13.40469333
11/25/2012,13.40604966
11/26/2012,13.61272727
11/27/2012,13.34792453
11/28/2012,13.3545
11/29/2012,13.0829771
11/30/2012,13.0580826
12/1/2012,13.2125
12/2/2012,13.32952941
12/3/2012,13.30248408
12/4/2012,13.2375
12/5/2012,13.15550562
12/6/2012,13.11671875
12/7/2012,13.17898148
12/8/2012,13.10576
12/9/2012,13.09899598
12/10/2012,13.15753247
12/11/2012,13.22
12/12/2012,13.21333333
12/13/2012,13.18533333
12/14/2012,13.07637255
12/15/2012,13.11640845
12/16/2012,13.13370229
12/17/2012,13.11878788
12/18/2012,13.13542254
12/19/2012,13.10723404
12/20/2012,13.15115079
12/21/2012,13.31937255
12/22/2012,13.4467128
12/23/2012,13.78063604
12/24/2012,13.97228723
12/25/2012,13.95548077
12/26/2012,13.7610625
12/27/2012,13.93180212
12/28/2012,14.12064198
12/29/2012,14.40459854
12/30/2012,14.97772201
12/31/2012,15.47666667
1/1/2013,15.44458015
1/2/2013,15.52762295
1/3/2013,16.22210526
1/4/2013,17.12855705
1/5/2013,17.27910112
1/6/2013,17.77260073
1/7/2013,17.09877612
1/8/2013,17.07159624
1/9/2013,17.46147436
1/10/2013,18.0016156
1/11/2013,19.17947891
1/12/2013,19.16359259
1/13/2013,20.21767624
1/14/2013,20.54781538
1/15/2013,19.81156352
1/16/2013,20.20108374
1/17/2013,20.3894508
1/18/2013,20.38654804
1/19/2013,20.78621324
1/20/2013,21.4020936
1/21/2013,22.26658703
1/22/2013,22.8109772
1/23/2013,23.35297561
1/24/2013,23.62358974
1/25/2013,25.00227632
1/26/2013,25.54716332
1/27/2013,25.35228273
1/28/2013,27.14892308
1/29/2013,27.13122016
1/30/2013,26.52390654
1/31/2013,26.68565445
2/1/2013,28.18253235
2/2/2013,29.68669623
2/3/2013,29.88957096
2/4/2013,30.60431568
2/5/2013,28.98197309
2/6/2013,29.77152941
2/7/2013,30.14048673
2/8/2013,31.17231115
2/9/2013,31.2691215
2/10/2013,33.49341126
2/11/2013,34.04266789
2/12/2013,34.15238748
2/13/2013,34.13938017
2/14/2013,35.42868132
2/15/2013,39.79543083
2/16/2013,46.25191057
2/17/2013,40.35616388
2/18/2013,42.97391653
2/19/2013,44.41575718
2/20/2013,46.27799458
2/21/2013,47.38269865
2/22/2013,43.82965329
2/23/2013,46.28877747
2/24/2013,47.34752497
2/25/2013,47.11222222
2/26/2013,46.7882659
2/27/2013,46.98992278
2/28/2013,48.37430535
3/1/2013,55.10159139
3/2/2013,62.57813856
3/3/2013,70.89731507
3/4/2013,70.77959732
3/5/2013,62.53745527
3/6/2013,68.62449254
3/7/2013,74.1356654
3/8/2013,79.33783824
3/9/2013,86.89146409
3/10/2013,90.12842738
3/11/2013,89.94427466
3/12/2013,92.61546697
3/13/2013,94.05637555
3/14/2013,100.4620856
3/15/2013,109.4098264
3/16/2013,130.0494091
3/17/2013,132.7259384
3/18/2013,140.0493763
3/19/2013,141.7378867
3/20/2013,153.8408608
3/21/2013,183.1286917
3/22/2013,213.5466923
3/23/2013,191.569168
3/24/2013,116.8260479
3/25/2013,77.77348852
3/26/2013,102.1127406
3/27/2013,95.15085052
3/28/2013,87.80317232
3/29/2013,64.97480465
3/30/2013,83.98213542
3/31/2013,96.68080612
4/1/2013,118.6426223
4/2/2013,123.2318735
4/3/2013,117.2406605
4/4/2013,120.8528566
4/5/2013,130.6221153
4/6/2013,147.2437403
4/7/2013,146.0631948
4/8/2013,134.4062304
4/9/2013,132.6673924
4/10/2013,133.5180176
4/11/2013,140.7725206
4/12/2013,140.2042257
4/13/2013,123.8378438
4/14/2013,109.4834942
4/15/2013,92.36067115
4/16/2013,105.9298139
4/17/2013,113.9511872
4/18/2013,117.7487093
4/19/2013,107.0600133
4/20/2013,113.1176057
4/21/2013,111.3000661
4/22/2013,115.9720389
4/23/2013,115.7793608
4/24/2013,115.3410497
4/25/2013,116.126552
4/26/2013,114.0276533
4/27/2013,109.216013
4/28/2013,110.9490227
4/29/2013,115.1317209
4/30/2013,117.6027844
5/1/2013,117.6917239
5/2/2013,117.6291412
5/3/2013,117.7973261
5/4/2013,118.7799944
5/5/2013,120.9266042
5/6/2013,126.45955
5/7/2013,128.4807469
5/8/2013,129.4593243
5/9/2013,127.7948775
5/10/2013,125.648114
5/11/2013,127.8626734
5/12/2013,129.1370975
5/13/2013,128.0514189
5/14/2013,128.1944247
5/15/2013,122.3012464
5/16/2013,120.2997195
5/17/2013,121.0871049
5/18/2013,120.8470217
5/19/2013,119.9060105
5/20/2013,113.4750378
5/21/2013,109.5494671
5/22/2013,98.77013502
5/23/2013,101.498505
5/24/2013,106.3279034
5/25/2013,107.8953399
5/26/2013,104.234956
5/27/2013,100.031561
5/28/2013,100.0286972
5/29/2013,99.88764188
5/30/2013,100.1912213
5/31/2013,104.5851176
6/1/2013,105.474927
6/2/2013,105.9862932
6/3/2013,100.4684129
6/4/2013,100.5934815
6/5/2013,100.0909516
6/6/2013,97.87416518
6/7/2013,99.40224257
6/8/2013,98.39895105
6/9/2013,97.77665558
6/10/2013,92.04957258
6/11/2013,89.39668731
6/12/2013,89.11413055
6/13/2013,86.10187516
6/14/2013,86.2836248
6/15/2013,84.40568124
6/16/2013,77.72209141
6/17/2013,71.00789706
6/18/2013,67.0799476
6/19/2013,68.39880295
6/20/2013,74.05258359
6/21/2013,73.5883474
6/22/2013,79.20635721
6/23/2013,86.4285804
6/24/2013,92.17659817
6/25/2013,89.45646097
6/26/2013,91.71638139
6/27/2013,92.30284572
6/28/2013,92.34075411
6/29/2013,91.143261
6/30/2013,84.85983258
7/1/2013,85.29506235
7/2/2013,86.1221563
7/3/2013,85.33501789
7/4/2013,85.91631696
7/5/2013,86.37207825
7/6/2013,87.3909472
7/7/2013,89.22214335
7/8/2013,90.27754547
7/9/2013,88.81125522
7/10/2013,90.34443236
7/11/2013,92.61161306
7/12/2013,94.4522016
7/13/2013,98.76536546
7/14/2013,97.13517517
7/15/2013,96.76233406
7/16/2013,95.90639047
7/17/2013,96.20625
7/18/2013,97.43250084
7/19/2013,97.97826249
7/20/2013,97.57592532
7/21/2013,94.66522913
7/22/2013,93.34782243
7/23/2013,93.16237574
7/24/2013,93.8466328
7/25/2013,94.30488631
7/26/2013,96.10458555
7/27/2013,99.21749757
7/28/2013,98.66996092
7/29/2013,97.98891018
7/30/2013,98.56828216
7/31/2013,99.07927684
8/1/2013,102.1829185
8/2/2013,103.8919538
8/3/2013,108.0146131
8/4/2013,111.5830218
8/5/2013,107.8383074
8/6/2013,108.7151403
8/7/2013,111.5433179
8/8/2013,112.2571912
8/9/2013,116.6694806
8/10/2013,118.4637534
8/11/2013,118.6279781
8/12/2013,123.1186824
8/13/2013,128.4458065
8/14/2013,130.1610516
8/15/2013,130.6245478
8/16/2013,129.5317175
8/17/2013,124.6995005
8/18/2013,121.8954809
8/19/2013,121.1866927
8/20/2013,118.8881463
8/21/2013,118.6770285
8/22/2013,120.2263801
8/23/2013,122.7909972
8/24/2013,123.3060803
8/25/2013,126.9373743
8/26/2013,127.5498747
8/27/2013,125.954387
8/28/2013,124.7564351
8/29/2013,125.8793271
8/30/2013,126.7758337
8/31/2013,127.3286018
9/1/2013,125.7806202
9/2/2013,123.8315346
9/3/2013,123.1683983
9/4/2013,123.0031824
9/5/2013,123.2207797
9/6/2013,122.9592896
9/7/2013,124.2568213
9/8/2013,124.1356386
9/9/2013,125.7748324
9/10/2013,126.3545849
9/11/2013,127.5682945
9/12/2013,125.9892953
9/13/2013,127.1628841
9/14/2013,114.0751476
9/15/2013,112.2709729
9/16/2013,120.6395852
9/17/2013,121.4842623
9/18/2013,121.9411747
9/19/2013,123.0797363
9/20/2013,123.8171009
9/21/2013,125.1484924
9/22/2013,125.8687341
9/23/2013,126.784815
9/24/2013,127.3486003
9/25/2013,129.4130723
9/26/2013,135.3604081
9/27/2013,138.0440686
9/28/2013,142.9956636
9/29/2013,142.1393636
9/30/2013,147.7339739
10/1/2013,162.3709709
10/2/2013,165.4198233
10/3/2013,173.4934387
10/4/2013,188.7922805
10/5/2013,195.2626396
10/6/2013,188.8946266
10/7/2013,180.735639
10/8/2013,181.8803403
10/9/2013,187.2685572
10/10/2013,194.7204235
10/11/2013,199.2287627
10/12/2013,201.6143648
10/13/2013,200.556943
10/14/2013,202.6222408
10/15/2013,204.2622362
10/16/2013,206.7433407
10/17/2013,220.0305683
10/18/2013,237.723616
10/19/2013,255.5644533
10/20/2013,283.2254944
10/21/2013,314.6524643
10/22/2013,339.7406903
10/23/2013,302.4587538
10/24/2013,333.4863098
10/25/2013,350.0042573
10/26/2013,379.5020795
10/27/2013,409.6465605
10/28/2013,417.7302594
10/29/2013,432.8064075
10/30/2013,460.6646036
10/31/2013,552.2068768
11/1/2013,605.6395504
11/2/2013,546.8851368
11/3/2013,663.0019187
11/4/2013,745.5939584
11/5/2013,835.0045726
11/6/2013,801.7914336
11/7/2013,808.0213122
