"currency","high","latest_trade","weighted_price","bid","volume","ask","low","duration","close","avg","symbol","currency_volume"
"56","NZD",NA,1393288934,NA,158.77756,0,167.02096,NA,88382,151,NA,"mtgoxNZD",0
"57","RUB",969926.57,1528250413,463033.34111657,946527.99,303.49812804,257900,359086.41,88382,504899.21,463033.34111657,"localbtcRUB",140529752.248986
"58","USD",7685,1528252556,7499.1849754022,7600.34,9890.04728747,7605.71,7360,88562,7594.92,7499.18497540221,"bitstampUSD",74167294.0242124
"59","CLP",NA,1329168604,NA,NA,0,NA,NA,88383,3050,NA,"thCLP",0
"60","AUD",10071.88,1528252518,9863.73381300163,9958,157.18709941,9976.3,9704.04,88562,9976.3,9863.73381300163,"btcmarketsAUD",1550451.70741807
"61","ARS",277117.7,1528250604,200406.688076187,284750.68,4.99565074,198200,181807.06,88562,235947.63,200406.688076187,"localbtcARS",1001161.81958875
"62","NOK",90317.27,1528245761,59894.7702032659,142081.42,6.15115176,62997.66,54368.76,88383,58638.73,59894.7702032659,"localbtcNOK",368421.821150615
"63","GAU",NA,1312214090,NA,NA,0,NA,NA,88383,0.267,NA,"bcmBMGAU",0
"64","USD",NA,1312592486,NA,NA,0,NA,NA,88383,15,NA,"bcmBMUSD",0
"65","USD",NA,1312408747,NA,NA,0,NA,NA,88383,11,NA,"bcmLRUSD",0
"66","USD",NA,1313715228,NA,NA,0,NA,NA,88383,10,NA,"bcmMBUSD",0
"67","USD",NA,1327176610,NA,NA,0,NA,NA,88383,6.5,NA,"b2cUSD",0
"68","EUR",NA,1317822453,NA,NA,0,NA,NA,88383,3.3,NA,"b7EUR",0
"69","USD",NA,1318805936,NA,NA,0,NA,NA,88383,3.6399,NA,"exchbUSD",0
"70","EUR",NA,1382340335,NA,NA,0,NA,NA,88383,125,NA,"fbtcEUR",0
"71","USD",NA,1382291616,NA,NA,0,NA,NA,88383,165,NA,"fbtcUSD",0
"72","PLN",NA,1315073674,NA,NA,0,NA,NA,88383,25,NA,"freshPLN",0
"73","EUR",NA,1317816883,NA,NA,0,NA,NA,88383,4,NA,"globalEUR",0
"74","GBP",NA,1320274888,NA,NA,0,NA,NA,88383,2.99,NA,"globalGBP",0
"75","PLN",NA,1325440070,NA,NA,0,NA,NA,88383,15.82,NA,"globalPLN",0
"76","USD",NA,1318013969,NA,NA,0,NA,NA,88383,4.7,NA,"globalUSD",0
"77","EUR",NA,1348229048,NA,NA,0,NA,NA,88383,7.71153846154,NA,"imcexEUR",0
"78","USD",NA,1350223254,NA,NA,0,NA,NA,88383,19.99914062,NA,"imcexUSD",0
"79","HUF",NA,1319836324,NA,NA,0,NA,NA,88383,79,NA,"ruxumHUF",0
"80","JPY",NA,1319028730,NA,NA,0,NA,NA,88383,210,NA,"ruxumJPY",0
"81","PLN",NA,1318577499,NA,NA,0,NA,NA,88383,13.5,NA,"ruxumPLN",0
"82","RUB",NA,1319202603,NA,NA,0,NA,NA,88383,195,NA,"ruxumRUB",0
"83","SEK",NA,1319028697,NA,NA,0,NA,NA,88383,20,NA,"ruxumSEK",0
"84","SGD",NA,1318789490,NA,NA,0,NA,NA,88383,5.2,NA,"ruxumSGD",0
"85","THB",NA,1318519297,NA,NA,0,NA,NA,88383,135,NA,"ruxumTHB",0
"86","UAH",NA,1318793596,NA,NA,0,NA,NA,88383,30,NA,"ruxumUAH",0
"87","USD",NA,1347450254,NA,NA,0,NA,NA,88383,14.75001,NA,"ruxumUSD",0
"88","ZAR",NA,1319028662,NA,NA,0,NA,NA,88383,25,NA,"ruxumZAR",0
"89","XRP",NA,1367998202,NA,NA,0,NA,NA,88383,8999,NA,"snwcnXRP",0
"90","AUD",NA,1329028868,NA,NA,0,NA,NA,88383,5.8999786792,NA,"thAUD",0
"91","INR",NA,1327901200,NA,NA,0,NA,NA,88383,318,NA,"thINR",0
"92","CAD",NA,1444487795,NA,506.83788,0,536.04429,NA,88383,317.0868,NA,"anxhkCAD",0
"93","GBP",NA,1444487795,NA,254.60483,0,262.41894,NA,88383,159.85388,NA,"anxhkGBP",0
"94","HKD",NA,1444505403,NA,2857.95853,0,2919.4307,NA,88383,1907.33658,NA,"anxhkHKD",0
"95","USD",NA,1444487795,NA,369.74229,0,372.87118,NA,88383,244.85695,NA,"anxhkUSD",0
"96","USD",NA,1329154248,NA,NA,0,NA,NA,88383,4.3502752411,NA,"thLRUSD",0
"97","GBP",10057.23,1528251267,5665.59464176196,25000,102.89825466,5709.66,4881.13,88383,5932.42,5665.59464176196,"localbtcGBP",582979.800248353
"98","SLL",2029978,1528252414,1966160.78172043,1996999,18.6,2004999,1913001,88562,2005000,1966160.78172043,"virwoxSLL",36570590.54
"99","SEK",NA,1527988257,NA,66400,0,74804.83,NA,88562,76528.84,NA,"fybseSEK",0
"100","USD",7677.1,1528252568,7507.47133439988,7607.3,3504.56388599,7612.3,7350,88562,7601.1,7507.47133439988,"krakenUSD",26310412.913643
"101","PLN",NA,1371620088,NA,NA,0,NA,NA,88384,335,NA,"intrsngPLN",0
"102","BRL",29301,1528252345,28921.6690189177,29126.00001,86.37707663,29130,28215,88562,29126.00001,28921.6690189177,"mrcdBRL",2498169.22111455
"103","SGD",10290,1528252345,10067.4725057165,10200,17.23318607,10235,9916,88562,10200,10067.4725057165,"fybsgSGD",173494.626945622
"104","THB",285208.28,1528248788,235437.640332925,257739.15,21.21814441,241998,228722.99,88384,233541.48,235437.640332925,"localbtcTHB",4995549.85213364
"105","SGD",10888.18,1528245466,10087.5749585699,10266.86,5.42801716,10358.73,9719.47,88384,10568.16,10087.5749585699,"localbtcSGD",54755.5299779035
"106","HKD",61355.57,1528208373,58084.1011894892,71711.85,6.88704605,61073.6,56124.62,88563,59495.86,58084.1011894892,"localbtcHKD",400027.879664872
"107","ILS",29724.55,1528228157,29306.0381010903,35070.61,0.15962581,28523.74,28752.39,88384,29724.55,29306.0381010903,"localbtcILS",4678.0000697774
"108","CZK",187701.43,1528209603,147196.611747797,168216.2,0.62007127,178154.28,145350.96,88563,145350.96,147196.611747797,"localbtcCZK",91272.3899861532
"109","CZK",NA,1384199283,NA,NA,0,NA,NA,88384,6700,NA,"bitcashCZK",0
"110","MXN",223446.21,1528250962,159574.391631462,311651.86,5.62207125,161412.35,145910.8,88563,154868.59,159574.391631462,"localbtcMXN",897138.599427483
"111","CHF",12451.5,1528231644,9876.75309468388,13000,0.33462413,7496.63,8065.52,88384,9778.23,9876.75309468388,"localbtcCHF",3304.9999115334
"112","USD",NA,1514740794,NA,1501,0,10000,NA,88384,6500,NA,"vcxUSD",0
"113","SGD",NA,1393233550,NA,166.9763,0,175.64537,NA,88384,200,NA,"mtgoxSGD",0
"114","HKD",NA,1393288352,NA,1021.5348,0,1074.57077,NA,88384,1001,NA,"mtgoxHKD",0
"115","EUR",NA,1393293546,NA,95.89175,0,98.41,NA,88384,95.89175,NA,"mtgoxEUR",0
"116","SEK",NA,1393287349,NA,857.004,0,901.498,NA,88384,1046.411,NA,"mtgoxSEK",0
"117","SEK",NA,1407605730,NA,3200,0,3468.465,NA,88385,3468.465,NA,"kptnSEK",0
"118","USD",8199.02,1528252529,8037.49530373042,8152.97,482.948443,8154.25,7925.16,88563,8152.04,8037.49530373042,"lakeUSD",3881695.84255642
"119","ZAR",9557649.51,1528241291,124319.868535961,101132.67,14.50899248,102879.9,75090.63,88385,95381.75,124319.868535961,"localbtcZAR",1803756.03770284
"120","BRL",42076.21,1528244502,28862.734562637,50756.53,7.56079781,30133.32,26605.09,88385,28988.12,28862.734562637,"localbtcBRL",218225.300271797
"121","CAD",NA,1384865294,NA,150,0,NA,NA,88385,120,NA,"weexCAD",0
"122","AUD",NA,1385545984,NA,880,0,890,NA,88385,890,NA,"weexAUD",0
"123","CAD",NA,1453935533,NA,548,0,550,NA,88385,550,NA,"virtexCAD",0
"124","CNY",NA,1387167315,NA,1000,0,5898,NA,88385,5177.36,NA,"rmbtbCNY",0
"125","NOK",NA,1414597967,NA,1100,0,2298,NA,88385,2058,NA,"justNOK",0
"126","EUR",NA,1414597919,NA,150.014,0,285.249,NA,88385,150.02,NA,"justEUR",0
"127","EUR",NA,1405436294,NA,210.00000007,0,297.9999999,NA,88385,481.12,NA,"crytrEUR",0
