"currency","high","latest_trade","weighted_price","bid","volume","ask","low","duration","close","avg","symbol","currency_volume"
"236","EUR",6562.78678,1528252337,6471.45239132412,6498.95313,259.06368322,6549.74381,6392.05982,88566,6524.52191,6471.45239132412,"wexEUR",1676518.2922793
"237","RUB",471999,1528252288,464069.579812728,467000,252.95031574,468999.99999,455106.86882,88566,468000,464069.579812728,"wexRUB",117386546.738959
"238","JPY",NA,1524307870,NA,944000,0,944010,NA,88390,947000,NA,"fiscoJPY",0
"239","VND",NA,1510499770,NA,175792806.585,0,174561649.665,NA,88390,153045823.046,NA,"remitanoVND",0
"240","USD",NA,1527603975,NA,0.61,0,8210.51,NA,88390,8210.51,NA,"abucoinsUSD",0
"241","PLN",NA,1527686662,NA,29246.93,0,29450,NA,88390,29450,NA,"abucoinsPLN",0
"242","EUR",NA,1527661442,NA,0.97,0,7625.06,NA,88390,5546.15,NA,"abucoinsEUR",0
"243","AUD",NA,1444487795,NA,512.20317,0,541.92942,NA,88390,333.84754,NA,"anxhkAUD",0
"244","CHF",NA,1424070997,NA,175.21825,0,223,NA,88390,217.2411,NA,"anxhkCHF",0
"245","CNY",NA,1444487795,NA,2430,0,2578.24622,NA,88390,1553.73989,NA,"anxhkCNY",0
"246","NZD",NA,1444724437,NA,555.72253,0,588.51416,NA,88390,371.2863,NA,"anxhkNZD",0
"247","USD",NA,1385463228,NA,395,0,NA,NA,88390,395,NA,"weexUSD",0
"248","CNY",NA,1506787196,NA,27028.19,0,28000,NA,88390,27197,NA,"chbtcCNY",0
"249","MXN",NA,1397162388,NA,187000.99,0,188000,NA,88390,5200,NA,"bitsoMXN",0
"250","CNY",NA,1506765589,NA,22020.1,0,22199,NA,88390,24821,NA,"btctradeCNY",0
"251","CNY",NA,1506765582,NA,27150,0,27599,NA,88390,27599,NA,"jubiCNY",0
"252","CAD",NA,1370836515,NA,NA,0,NA,NA,88390,104.97,NA,"lybitCAD",0
"253","XRP",NA,1414593608,NA,25000,0,74998,NA,88390,64001,NA,"justXRP",0
"254","GBP",NA,1314988355,NA,NA,0,NA,NA,88390,5.5,NA,"bitmarketGBP",0
"255","EUR",6537.9,1528252309,6410.25192143408,6481.71,1178.14344673,6488.19,6310,88566,6487.82,6410.25192143408,"bitstampEUR",7552196.29312595
